model,isl,osl,prefix,concurrency,request_rate,bs,global_bs,ttft,tpot,request_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,num_total_gpus,tp,pp,dp,moe_tp,moe_ep,parallel,gemm,kvcache,fmha,moe,comm,memory,balance_score,num_ctx_reqs,num_gen_reqs,num_tokens,ctx_tokens,gen_tokens,backend,version,system,power_w,tokens/s/gpu_cluster
QWEN3_32B,5000,1000,0,7,0.795,7,7,214.291,8.543,8748.332,0.795,0.099,793.832,99.229,117.061,8,8,1,1,1,1,tp8pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,11.058,0.007,1.0,6.0,5006.0,5000,6.0,sglang,0.5.1.post1,h200_sxm,0.0,99.229
QWEN3_32B,5000,1000,0,7,0.79,7,7,364.05,8.355,8710.235,0.79,0.099,789.079,98.635,119.695,8,8,1,1,1,1,tp8pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,11.628,0.004,2.0,5.0,10005.0,10000,5.0,sglang,0.5.1.post1,h200_sxm,0.0,98.635
QWEN3_32B,5000,1000,0,6,0.715,6,6,354.528,8.055,8401.972,0.715,0.089,714.089,89.261,124.139,8,8,1,1,1,1,tp8pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,11.536,0.003,2.0,4.0,10004.0,10000,4.0,sglang,0.5.1.post1,h200_sxm,0.0,89.261
QWEN3_32B,5000,1000,0,5,0.621,5,5,203.2,7.779,7974.771,0.621,0.078,620.782,77.598,128.545,8,8,1,1,1,1,tp8pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,10.874,0.005,1.0,4.0,5004.0,5000,4.0,sglang,0.5.1.post1,h200_sxm,0.0,77.598
QWEN3_32B,5000,1000,0,5,0.617,5,5,353.953,7.77,8116.388,0.617,0.077,616.011,77.001,128.697,8,8,1,1,1,1,tp8pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,11.444,0.002,2.0,3.0,10003.0,10000,3.0,sglang,0.5.1.post1,h200_sxm,0.0,77.001
QWEN3_32B,5000,1000,0,4,0.523,4,4,344.544,7.485,7821.801,0.523,0.065,522.084,65.26,133.605,8,8,1,1,1,1,tp8pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,11.353,0.002,2.0,2.0,10002.0,10000,2.0,sglang,0.5.1.post1,h200_sxm,0.0,65.26
QWEN3_32B,5000,1000,0,4,0.521,4,4,197.773,7.405,7594.994,0.521,0.065,520.866,65.108,135.051,8,8,1,1,1,1,tp8pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,10.783,0.004,1.0,3.0,5003.0,5000,3.0,sglang,0.5.1.post1,h200_sxm,0.0,65.108
QWEN3_32B,5000,1000,0,3,0.415,3,3,192.374,7.044,7229.541,0.415,0.052,414.953,51.869,141.961,8,8,1,1,1,1,tp8pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,10.691,0.003,1.0,2.0,5002.0,5000,2.0,sglang,0.5.1.post1,h200_sxm,0.0,51.869
QWEN3_32B,5000,1000,0,2,0.297,2,2,187.064,6.648,6828.541,0.297,0.037,296.553,37.069,150.418,8,8,1,1,1,1,tp8pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,10.599,0.002,1.0,1.0,5001.0,5000,1.0,sglang,0.5.1.post1,h200_sxm,0.0,37.069
QWEN3_32B,5000,1000,0,1,0.155,1,1,178.667,6.383,6555.247,0.155,0.019,154.39,19.299,156.667,8,8,1,1,1,1,tp8pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,10.508,0.001,1.0,1.0,5000.0,5000,1.0,sglang,0.5.1.post1,h200_sxm,0.0,19.299
